dataset	n_significant
Alasoo_2018.macrophage_IFNg_exon	1233
Alasoo_2018.macrophage_IFNg_ge	1663
Alasoo_2018.macrophage_IFNg+Salmonella_exon	774
Alasoo_2018.macrophage_IFNg+Salmonella_ge	1131
Alasoo_2018.macrophage_IFNg+Salmonella_tx	726
Alasoo_2018.macrophage_IFNg+Salmonella_txrev	975
Alasoo_2018.macrophage_IFNg_tx	1164
Alasoo_2018.macrophage_IFNg_txrev	1571
Alasoo_2018.macrophage_naive_exon	1160
Alasoo_2018.macrophage_naive_ge	1615
Alasoo_2018.macrophage_naive_tx	1205
Alasoo_2018.macrophage_naive_txrev	1708
Alasoo_2018.macrophage_Salmonella_exon	935
Alasoo_2018.macrophage_Salmonella_ge	1174
Alasoo_2018.macrophage_Salmonella_tx	915
Alasoo_2018.macrophage_Salmonella_txrev	1226
BLUEPRINT_PE.T-cell_exon	4570
BLUEPRINT_PE.T-cell_ge	6154
BLUEPRINT_PE.T-cell_tx	2848
BLUEPRINT_PE.T-cell_txrev	3994
BLUEPRINT_SE.monocyte_exon	4738
BLUEPRINT_SE.monocyte_ge	6934
BLUEPRINT_SE.monocyte_tx	2593
BLUEPRINT_SE.monocyte_txrev	4045
BLUEPRINT_SE.neutrophil_exon	3829
BLUEPRINT_SE.neutrophil_ge	5588
BLUEPRINT_SE.neutrophil_tx	1887
BLUEPRINT_SE.neutrophil_txrev	2905
BrainSeq.brain_exon	6046
BrainSeq.brain_ge	4961
BrainSeq.brain_tx	3858
BrainSeq.brain_txrev	4999
CEDAR.B-cell_CD19_microarray	1197
CEDAR.ileum_microarray	592
CEDAR.monocyte_CD14_microarray	2264
CEDAR.neutrophil_CD15_microarray	1973
CEDAR.platelet_microarray	397
CEDAR.rectum_microarray	814
CEDAR.T-cell_CD4_microarray	2408
CEDAR.T-cell_CD8_microarray	1910
CEDAR.transverse_colon_microarray	1079
Fairfax_2012.B-cell_CD19_microarray	3069
Fairfax_2014.monocyte_IFN24_microarray	4156
Fairfax_2014.monocyte_LPS24_microarray	3751
Fairfax_2014.monocyte_LPS2_microarray	2874
Fairfax_2014.monocyte_naive_microarray	4483
FUSION.adipose_naive_exon	6522
FUSION.adipose_naive_ge	6863
FUSION.adipose_naive_tx	5030
FUSION.adipose_naive_txrev	6612
FUSION.muscle_naive_exon	5836
FUSION.muscle_naive_ge	6636
FUSION.muscle_naive_tx	4374
FUSION.muscle_naive_txrev	6217
GENCORD.fibroblast_exon	1422
GENCORD.fibroblast_ge	2105
GENCORD.fibroblast_tx	904
GENCORD.fibroblast_txrev	1285
GENCORD.LCL_exon	1997
GENCORD.LCL_ge	2585
GENCORD.LCL_tx	1355
GENCORD.LCL_txrev	1943
GENCORD.T-cell_exon	1844
GENCORD.T-cell_ge	2586
GENCORD.T-cell_tx	1184
GENCORD.T-cell_txrev	1688
GEUVADIS.LCL_exon	5212
GEUVADIS.LCL_ge	5417
GEUVADIS.LCL_tx	3964
GEUVADIS.LCL_txrev	5646
GTEx.adipose_subcutaneous_exon	4538
GTEx.adipose_subcutaneous_ge	3828
GTEx.adipose_subcutaneous_tx	3775
GTEx.adipose_subcutaneous_txrev	5114
GTEx.adipose_visceral_exon	2648
GTEx.adipose_visceral_ge	2250
GTEx.adipose_visceral_tx	2423
GTEx.adipose_visceral_txrev	3342
GTEx.adrenal_gland_exon	1785
GTEx.adrenal_gland_ge	1924
GTEx.adrenal_gland_tx	1664
GTEx.adrenal_gland_txrev	2347
GTEx.artery_aorta_exon	3452
GTEx.artery_aorta_ge	3256
GTEx.artery_aorta_tx	2798
GTEx.artery_aorta_txrev	3769
GTEx.artery_coronary_exon	1511
GTEx.artery_coronary_ge	1264
GTEx.artery_coronary_tx	1393
GTEx.artery_coronary_txrev	1864
GTEx.artery_tibial_exon	4252
GTEx.artery_tibial_ge	3775
GTEx.artery_tibial_tx	3408
GTEx.artery_tibial_txrev	4574
GTEx.blood_exon	3197
GTEx.blood_ge	3098
GTEx.blood_tx	1805
GTEx.blood_txrev	2786
GTEx.brain_amygdala_exon	478
GTEx.brain_amygdala_ge	477
GTEx.brain_amygdala_tx	335
GTEx.brain_amygdala_txrev	469
GTEx.brain_anterior_cingulate_cortex_exon	764
GTEx.brain_anterior_cingulate_cortex_ge	819
GTEx.brain_anterior_cingulate_cortex_tx	547
GTEx.brain_anterior_cingulate_cortex_txrev	819
GTEx.brain_caudate_exon	1224
GTEx.brain_caudate_ge	1416
GTEx.brain_caudate_tx	905
GTEx.brain_caudate_txrev	1379
GTEx.brain_cerebellar_hemisphere_exon	1484
GTEx.brain_cerebellar_hemisphere_ge	2028
GTEx.brain_cerebellar_hemisphere_tx	1020
GTEx.brain_cerebellar_hemisphere_txrev	1553
GTEx.brain_cerebellum_exon	2022
GTEx.brain_cerebellum_ge	2539
GTEx.brain_cerebellum_tx	1369
GTEx.brain_cerebellum_txrev	1906
GTEx.brain_cortex_exon	1315
GTEx.brain_cortex_ge	1362
GTEx.brain_cortex_tx	1006
GTEx.brain_cortex_txrev	1336
GTEx.brain_frontal_cortex_exon	1268
GTEx.brain_frontal_cortex_ge	1294
GTEx.brain_frontal_cortex_tx	912
GTEx.brain_frontal_cortex_txrev	1210
GTEx.brain_hippocampus_exon	657
GTEx.brain_hippocampus_ge	649
GTEx.brain_hippocampus_tx	553
GTEx.brain_hippocampus_txrev	720
GTEx.brain_hypothalamus_exon	877
GTEx.brain_hypothalamus_ge	736
GTEx.brain_hypothalamus_tx	689
GTEx.brain_hypothalamus_txrev	919
GTEx.brain_nucleus_accumbens_exon	1131
GTEx.brain_nucleus_accumbens_ge	1206
GTEx.brain_nucleus_accumbens_tx	919
GTEx.brain_nucleus_accumbens_txrev	1239
GTEx.brain_putamen_exon	906
GTEx.brain_putamen_ge	1041
GTEx.brain_putamen_tx	644
GTEx.brain_putamen_txrev	863
GTEx.brain_spinal_cord_exon	444
GTEx.brain_spinal_cord_ge	524
GTEx.brain_spinal_cord_tx	298
GTEx.brain_spinal_cord_txrev	443
GTEx.brain_substantia_nigra_exon	355
GTEx.brain_substantia_nigra_ge	355
GTEx.brain_substantia_nigra_tx	268
GTEx.brain_substantia_nigra_txrev	371
GTEx.breast_exon	2561
GTEx.breast_ge	1991
GTEx.breast_tx	2339
GTEx.breast_txrev	3099
GTEx.colon_sigmoid_exon	1862
GTEx.colon_sigmoid_ge	1674
GTEx.colon_sigmoid_tx	1909
GTEx.colon_sigmoid_txrev	2610
GTEx.colon_transverse_exon	2491
GTEx.colon_transverse_ge	2185
GTEx.colon_transverse_tx	2198
GTEx.colon_transverse_txrev	2962
GTEx.esophagus_gej_exon	1668
GTEx.esophagus_gej_ge	1566
GTEx.esophagus_gej_tx	1887
GTEx.esophagus_gej_txrev	2535
GTEx.esophagus_mucosa_exon	3702
GTEx.esophagus_mucosa_ge	3351
GTEx.esophagus_mucosa_tx	3056
GTEx.esophagus_mucosa_txrev	4211
GTEx.esophagus_muscularis_exon	3476
GTEx.esophagus_muscularis_ge	3379
GTEx.esophagus_muscularis_tx	3091
GTEx.esophagus_muscularis_txrev	4144
GTEx.fibroblast_exon	4341
GTEx.fibroblast_ge	3828
GTEx.fibroblast_tx	3309
GTEx.fibroblast_txrev	4694
GTEx.heart_atrial_appendage_exon	2440
GTEx.heart_atrial_appendage_ge	2326
GTEx.heart_atrial_appendage_tx	1826
GTEx.heart_atrial_appendage_txrev	2572
GTEx.heart_left_ventricle_exon	1954
GTEx.heart_left_ventricle_ge	2067
GTEx.heart_left_ventricle_tx	1391
GTEx.heart_left_ventricle_txrev	2039
GTEx.kidney_cortex_exon	345
GTEx.kidney_cortex_ge	143
GTEx.kidney_cortex_tx	251
GTEx.kidney_cortex_txrev	356
GTEx.LCL_exon	1870
GTEx.LCL_ge	1459
GTEx.LCL_tx	1883
GTEx.LCL_txrev	2709
GTEx.liver_exon	688
GTEx.liver_ge	1085
GTEx.liver_tx	832
GTEx.liver_txrev	1135
GTEx.lung_exon	3633
GTEx.lung_ge	3520
GTEx.lung_tx	3057
GTEx.lung_txrev	4132
GTEx.minor_salivary_gland_exon	561
GTEx.minor_salivary_gland_ge	425
GTEx.minor_salivary_gland_tx	471
GTEx.minor_salivary_gland_txrev	624
GTEx.muscle_exon	3879
GTEx.muscle_ge	3330
GTEx.muscle_tx	2877
GTEx.muscle_txrev	4038
GTEx.nerve_tibial_exon	5001
GTEx.nerve_tibial_ge	4680
GTEx.nerve_tibial_tx	3798
GTEx.nerve_tibial_txrev	5090
GTEx.ovary_exon	866
GTEx.ovary_ge	1032
GTEx.ovary_tx	1061
GTEx.ovary_txrev	1508
GTEx.pancreas_exon	1541
GTEx.pancreas_ge	2222
GTEx.pancreas_tx	1554
GTEx.pancreas_txrev	2118
GTEx.pituitary_exon	1493
GTEx.pituitary_ge	1458
GTEx.pituitary_tx	1367
GTEx.pituitary_txrev	1704
GTEx.prostate_exon	1131
GTEx.prostate_ge	1100
GTEx.prostate_tx	1217
GTEx.prostate_txrev	1684
GTEx.skin_not_sun_exposed_exon	3304
GTEx.skin_not_sun_exposed_ge	2690
GTEx.skin_not_sun_exposed_tx	2754
GTEx.skin_not_sun_exposed_txrev	3685
GTEx.skin_sun_exposed_exon	4597
GTEx.skin_sun_exposed_ge	3949
GTEx.skin_sun_exposed_tx	3679
GTEx.skin_sun_exposed_txrev	5000
GTEx.small_intestine_exon	1085
GTEx.small_intestine_ge	1016
GTEx.small_intestine_tx	985
GTEx.small_intestine_txrev	1383
GTEx.spleen_exon	1380
GTEx.spleen_ge	1927
GTEx.spleen_tx	1388
GTEx.spleen_txrev	1857
GTEx.stomach_exon	1897
GTEx.stomach_ge	1818
GTEx.stomach_tx	1755
GTEx.stomach_txrev	2417
GTEx.testis_exon	5083
GTEx.testis_ge	4826
GTEx.testis_tx	3132
GTEx.testis_txrev	4309
GTEx.thyroid_exon	5045
GTEx.thyroid_ge	4865
GTEx.thyroid_tx	3774
GTEx.thyroid_txrev	5153
GTEx.uterus_exon	768
GTEx.uterus_ge	694
GTEx.uterus_tx	796
GTEx.uterus_txrev	1086
GTEx.vagina_exon	845
GTEx.vagina_ge	624
GTEx.vagina_tx	780
GTEx.vagina_txrev	1053
HipSci.iPSC_exon	5315
HipSci.iPSC_ge	4294
HipSci.iPSC_tx	4373
HipSci.iPSC_txrev	6046
Kasela_2017.T-cell_CD4_microarray	1907
Kasela_2017.T-cell_CD8_microarray	1176
Lepik_2017.blood_exon	6060
Lepik_2017.blood_ge	7853
Lepik_2017.blood_tx	3534
Lepik_2017.blood_txrev	4969
Naranbhai_2015.neutrophil_CD16_microarray	1107
Nedelec_2016.macrophage_Listeria_exon	1602
Nedelec_2016.macrophage_Listeria_ge	2188
Nedelec_2016.macrophage_Listeria_tx	972
Nedelec_2016.macrophage_Listeria_txrev	1362
Nedelec_2016.macrophage_naive_exon	1485
Nedelec_2016.macrophage_naive_ge	2322
Nedelec_2016.macrophage_naive_tx	1104
Nedelec_2016.macrophage_naive_txrev	1495
Nedelec_2016.macrophage_Salmonella_exon	1539
Nedelec_2016.macrophage_Salmonella_ge	2189
Nedelec_2016.macrophage_Salmonella_tx	813
Nedelec_2016.macrophage_Salmonella_txrev	1213
Quach_2016.monocyte_IAV_exon	2872
Quach_2016.monocyte_IAV_ge	4483
Quach_2016.monocyte_IAV_tx	1252
Quach_2016.monocyte_IAV_txrev	1858
Quach_2016.monocyte_LPS_exon	3124
Quach_2016.monocyte_LPS_ge	4647
Quach_2016.monocyte_LPS_tx	1605
Quach_2016.monocyte_LPS_txrev	2419
Quach_2016.monocyte_naive_exon	3513
Quach_2016.monocyte_naive_ge	5202
Quach_2016.monocyte_naive_tx	1986
Quach_2016.monocyte_naive_txrev	2952
Quach_2016.monocyte_Pam3CSK4_exon	3496
Quach_2016.monocyte_Pam3CSK4_ge	4953
Quach_2016.monocyte_Pam3CSK4_tx	1819
Quach_2016.monocyte_Pam3CSK4_txrev	2677
Quach_2016.monocyte_R848_exon	2791
Quach_2016.monocyte_R848_ge	4457
Quach_2016.monocyte_R848_tx	1556
Quach_2016.monocyte_R848_txrev	2212
ROSMAP.brain_naive_exon	8932
ROSMAP.brain_naive_ge	8690
ROSMAP.brain_naive_tx	5427
ROSMAP.brain_naive_txrev	6945
Schmiedel_2018.B-cell_naive_exon	405
Schmiedel_2018.B-cell_naive_ge	2334
Schmiedel_2018.B-cell_naive_tx	361
Schmiedel_2018.B-cell_naive_txrev	511
Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_exon	313
Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_ge	2099
Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_tx	336
Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_txrev	449
Schmiedel_2018.CD4_T-cell_naive_exon	495
Schmiedel_2018.CD4_T-cell_naive_ge	2638
Schmiedel_2018.CD4_T-cell_naive_tx	535
Schmiedel_2018.CD4_T-cell_naive_txrev	669
Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_exon	348
Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_ge	2048
Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_tx	384
Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_txrev	488
Schmiedel_2018.CD8_T-cell_naive_exon	628
Schmiedel_2018.CD8_T-cell_naive_ge	2757
Schmiedel_2018.CD8_T-cell_naive_tx	563
Schmiedel_2018.CD8_T-cell_naive_txrev	751
Schmiedel_2018.monocyte_CD16_naive_exon	381
Schmiedel_2018.monocyte_CD16_naive_ge	2391
Schmiedel_2018.monocyte_CD16_naive_tx	364
Schmiedel_2018.monocyte_CD16_naive_txrev	540
Schmiedel_2018.monocyte_naive_exon	385
Schmiedel_2018.monocyte_naive_ge	2494
Schmiedel_2018.monocyte_naive_tx	435
Schmiedel_2018.monocyte_naive_txrev	623
Schmiedel_2018.NK-cell_naive_exon	334
Schmiedel_2018.NK-cell_naive_ge	1902
Schmiedel_2018.NK-cell_naive_tx	318
Schmiedel_2018.NK-cell_naive_txrev	439
Schmiedel_2018.Tfh_memory_exon	487
Schmiedel_2018.Tfh_memory_ge	2480
Schmiedel_2018.Tfh_memory_tx	459
Schmiedel_2018.Tfh_memory_txrev	655
Schmiedel_2018.Th1-17_memory_exon	545
Schmiedel_2018.Th1-17_memory_ge	2653
Schmiedel_2018.Th1-17_memory_tx	499
Schmiedel_2018.Th1-17_memory_txrev	681
Schmiedel_2018.Th17_memory_exon	582
Schmiedel_2018.Th17_memory_ge	2896
Schmiedel_2018.Th17_memory_tx	594
Schmiedel_2018.Th17_memory_txrev	747
Schmiedel_2018.Th1_memory_exon	415
Schmiedel_2018.Th1_memory_ge	2181
Schmiedel_2018.Th1_memory_tx	383
Schmiedel_2018.Th1_memory_txrev	534
Schmiedel_2018.Th2_memory_exon	432
Schmiedel_2018.Th2_memory_ge	2561
Schmiedel_2018.Th2_memory_tx	463
Schmiedel_2018.Th2_memory_txrev	660
Schmiedel_2018.Treg_memory_exon	496
Schmiedel_2018.Treg_memory_ge	2343
Schmiedel_2018.Treg_memory_tx	441
Schmiedel_2018.Treg_memory_txrev	589
Schmiedel_2018.Treg_naive_exon	471
Schmiedel_2018.Treg_naive_ge	2455
Schmiedel_2018.Treg_naive_tx	476
Schmiedel_2018.Treg_naive_txrev	615
Schwartzentruber_2018.sensory_neuron_exon	923
Schwartzentruber_2018.sensory_neuron_ge	514
Schwartzentruber_2018.sensory_neuron_tx	1150
Schwartzentruber_2018.sensory_neuron_txrev	1496
TwinsUK.blood_exon	1425
TwinsUK.blood_ge	3239
TwinsUK.blood_tx	873
TwinsUK.blood_txrev	1261
TwinsUK.fat_exon	5608
TwinsUK.fat_ge	7023
TwinsUK.fat_tx	2699
TwinsUK.fat_txrev	3847
TwinsUK.LCL_exon	4070
TwinsUK.LCL_ge	6866
TwinsUK.LCL_tx	3075
TwinsUK.LCL_txrev	4356
TwinsUK.skin_exon	4695
TwinsUK.skin_ge	5541
TwinsUK.skin_tx	2355
TwinsUK.skin_txrev	3161
van_de_Bunt_2015.pancreatic_islet_exon	683
van_de_Bunt_2015.pancreatic_islet_ge	503
van_de_Bunt_2015.pancreatic_islet_tx	629
van_de_Bunt_2015.pancreatic_islet_txrev	892
